surgery_boat,fish_number,tag_date,species,location_hooked,basin,surgeon,time_hooked,landed,transfered,surgery_start,surgery_end,release,latitude,longitude,tens_setting,tl,fl,girth,weight,sex,scales,fin,flou_tag_colour,gray_floy_tag_number,vemco_tag,est_life,min_delay,max_delay,acc_sampling_rate_hz,power,acc_on_sec,vemco_type,vemco_id,transmitter_serial,angler,photo,comments,nest_tag,stomach_pumped,Removed
,7,6-Jun-18,SMB,Pat's Island (Phallus nest tag),West Basin,Ben,,,,,,,,,2,405,398,255,,M,yes,yes,white,05592,V13,1130,80,160,,L,,T/P,14565,1294358,JC - Junebug senko Texas rig,No,Hook wound bottom left lip,,,
,5,6-Jun-18,SMB,Pat's Island (Bat nest tag),West Basin,Ben,10:54:00,10:54:00,,10:55:00,11:00:00,11:03:00,,,2,430,420,265,,M,yes,yes,white,05597,V13,1130,80,160,,L,,T/P,14569,1294360,JC - Chartreuse dropshot,No,Hook wound on bottom left lip,,,
,8,6-Jun-18,SMB,Pat's Island,West Basin,Ben,,,,,,,,,2,430,415,275,,F,yes,yes,white,05591,V13,1130,80,160,,L,,T/P,14571,1294361,JC - White tube,Yes,,,,
,11,8-Jun-18,SMB,Presqu'Ile Bay @ Island,Main Basin,Ben,13:09:00,13:10:00,,13:10:00,13:16:00,13:19:00,,,2,450,420,295,,M,yes,yes,white,05588,V13,1130,80,160,,L,,T/P,14573,1294362,JC - White dropshot,Yes,Left eyesore,,,
,18,9-Jun-18,SMB,Indian Island North Bay,West Basin,Jason,12:45:00,12:45:00,12:46:00,12:56:00,13:02:00,13:05:00,45.83166747,-74.77721493,2,430,415,285,,F,yes,yes,white,05796,V13,1130,80,160,,L,,T/P,14575,1294363,LN - Pink Senk Texas Rig,Yes,,,,
Ben,3,28-May-18,SMB,Fish Camp/Bay South,Main Basin,Ben,15:15:00,15:16:00,,16:06:05,16:12:35,16:15:40,45.77579236,-74.7441567,2,375,360,255,,F,yes,yes,grey,07036,V13,1584,80,160,,L,,Reg,25888,1294380,David Philpp-white senko,Yes,Parasite cysts in pec fins,,,
,13,8-Jun-18,SMB,Presqu'Ile Bay North shore,Main Basin,Ben,14:11:00,14:12:00,,14:12:00,14:15:00,14:17:00,,,2,355,340,215,,M,yes,yes,white,05787,V13,1584,80,160,,L,,Reg,25889,1294381,JC - White dropshot,Yes,,,,
,9,6-Jun-18,SMB,"Submarine Inlet (Nest tag ""bass 5"")",Main Basin,Ben,,,,,,,,,2,370,355,228,,M,yes,yes,white,05590,V13,1584,80,160,,L,,Reg,25892,1294384,JC - White dropshot,No,,,,
,15,8-Jun-18,SMB,Across from Fish camp,Main Basin,Ben,16:26:00,16:26:00,,16:29:00,16:33:00,16:35:00,45.7858838,-74.74449906,2,355,340,225,,M,yes,yes,white,05789,V13,1584,80,160,,L,,Reg,25895,1294387,DP - Silver Rap,Yes,,,,y
,6,6-Jun-18,SMB,"Pat's Island (""W.P."" nest tag)",West Basin,Ben,11:53:00,11:53:00,,11:55:00,12:01:00,12:04:00,,,2,385,370,230,,M,yes,yes,white,05596,V13,1584,80,160,,L,,Reg,25896,1294388,Mercy - Ned rig,Yes,,,,
,16,8-Jun-18,SMB,Bay adjacent to Lac Clair,Main Basin,Jason,17:10:00,17:12:00,,17:18:00,17:23:00,17:26:00,45.80605759,-74.7537888,2,355,335,230,,F,yes,yes,white,05790,V13,1584,80,160,,L,,Reg,25897,1294389,BH - Green pumpkin ned rig,No,,,,
,17,9-Jun-18,SMB,"Pat's Island (""#"" Nest tag)",West Basin,Jason,11:49:00,11:50:00,,11:51:00,11:58:00,12:02:00,45.81805908,-74.77750091,2,390,365,245,,M,yes,yes,white,05791,V13,1584,80,160,,L,,Reg,25898,1294390,JC-Pink Senko Texas Rig,Yes,,,,
Steve,1,25-May-18,SMB,North shore of Presqu'ile,Main Basin,Jason,08:47:00,08:48:00,08:58:00,08:59:00,09:06:15,9:10:00,45.81053519,-74.76610302,2,400,385,275,,F,yes,yes,grey,07047,V13,1584,80,160,,L,,Reg,25899,1294391,David Philpp-Wolly bugger fly,Yes,,,,
,19,9-Jun-18,SMB,Indian Island North Bay,West Basin,Jason,13:28:00,13:29:00,13:29:00,13:34:00,13:38:00,13:41:00,45.82750334,-74.76972567,2,365,345,235,,F,yes,yes,white,05797,V13,1584,80,160,,L,,Reg,25901,1294393,JC - White X-Rap,Yes,,,,
,12,8-Jun-18,SMB,Presqu'Ile Bay North shore,Main Basin,Ben,13:42:00,13:41:00,,13:43:00,13:46:00,13:48:00,,,2,320,310,210,,M,yes,yes,white,05786,V13,1584,80,160,,L,,Reg,25903,1294395,JC - White dropshot,Yes,,,,
Danny,7,9-Jun-19,SMB,NE Indian - near Digardie ,Main Basin,Danny,15:55,15:55,,16:05,16:12,16:15,45.8308102,-74.7708051,3,375,355,260,745,F,yes,yes,grey,07487,V13,358,80,160,10,L,10,Acc,6384,1315811,Shauna Willimas,no,,,,
Danny,6,9-Jun-19,SMB,Presquile,Main Basin,Danny,13:10,13:11,,13:20,13:26,13:30,,,3,360,345,233,619,M,yes,yes,grey,07486,V13,358,80,160,10,L,10,Acc,6385,1315812,Danny,No,"Body Cavity seemed small, tag was harder to insert, egg score 4, 2 day old",Q116,,
Danny,5,9-Jun-19,SMB,Presquile,Main Basin,Danny,11:42,,,11:52,11:56,12:01,45.8051479,-74.7703847,3,365,348,224,625,M,yes,yes,grey,07485,V13,358,80,160,10,L,10,Acc,6386,1315813,Shauna Willimas,No,"Male egg score 3, 1 day old ",D001,n,n
Danny,4,9-Jun-19,SMB,SE Indian,Main Basin,Danny,10:22,10:23,10:27,10:34,10:38,10:41,45.8177,-74.7711,3,420,399,305,1135,F,yes,yes,grey,07484,V13,358,80,160,10,L,10,Acc,6387,1315814,Shauna Willimas,Yes,Female is running eggs very swollen belly,,n,
Danny,18,25-May-19,SMB,Mackanoon Bay,West Basin,Danny,10:30,10:32,10:33,10:44,10:50,10:54,45.828333,-74.78,2,465,445,322,1420,F,yes,yes,grey,05814,V13,358,80,160,10,L,10,Acc,6389,1315816,Matt,yes,Big ass female,,,
,,1-Jun-19,SMB,Little Snake Island,Main Basin,Danny,15:38:00,15:39:00,15:39:00,15:52:00,15:57:00,15:57:00,-74.7540172,45.7957132,,384,362,266,805,F,maybe,maybe,,07106,V13,358,80,160,10,L,10,Acc,6390,1315817,Dave,yes,"Removed from capture location (45.7922009, -74.7471497) by 500m",,No,
,,1-Jun-19,SMB,Clear Bay,Main Basin,Danny,16:18:00,16:18:00,16:18:00,16:30:00,16:34:00,16:34:00,-74.2480040,45.8045812,,380,358,265,785,F,maybe,maybe,,07107,V13,358,80,160,10,L,10,Acc,6391,1315818,Matt Futia - green inline spinner,yes,North of Clear Bay dock,,No,
Danny,3,8-Jun-19,SMB,Hamilton Bay,North Basin,Danny,15:17,15:18,15:18,15:32,,,45.84701,-74.76803,3,365,345,220,600,M,yes,yea,grey,07483,V13,358,80,160,10,L,10,Acc,6393,1315820,Danny,no,top mouth hook wound ,Q118,,
Danny,2,8-Jun-19,SMB,Outside hidden,North Basin,Danny,12:45,12:45,12:46,12:56,12:59,13:00,45.84478,-74.78189,3,360,339,248,384,M,yes,yes,grey,07482,V13,358,80,160,10,L,10,Acc,6394,1315821,Danny,no,lip wound right side,,,
Danny,9,18-Jun-19,SMB,Big shore shoal,Main Basin,Danny,18:05,,,,,18:20,45.80481,-74.76621,3,392,373,248,749,M,yes,yes,grey,07489,V13,358,80,160,10,L,10,Acc,6396,1315823,Danny,no,angled 3 times N end of shoal near grass,,,
,,1-Jun-19,SMB,North of Marina,West Basin,Ben,10:50:00,10:50:00,10:50:00,10:58:00,11:02:00,11:02:00,-74.7927200,45.7892400,,398,365,280,935,M,yes,yes,,07104,V13,358,80,160,10,L,10,Acc,6397,1315824,David Philip,yes,,,No,
Danny,8,18-Jun-19,SMB,Opposite of Pat's Island,West Basin,Danny,11:28,,,11:38,11:43,11:43,45.8150529,-74.7790026,3,394,378,235,722,M,yes,yes,grey,07488,V13,358,80,160,10,L,10,Acc,6397,1315824,Danny,no,"tag taken form fish in marina 18-Jun-2019, nest score 4",D005,,
Danny,15,31-May-19,SMB,RT Bay,,Danny,17:11,17:12,7:12,17:16:40,17:23:20,17:27:25,,,3,392,374,247,780,,yes,yes,grey,07103,V13,358,80,160,10,L,10,Acc,6398,1315825,Dave,,,,,
,,23-May-19,SMB,South Commandant,,Danny,6:22:00,6:23:00,6:30:00,6:31:25,6:39:50,6:47:00,-74.7780500,45.8422200,,445,415,324,1136.6,F,yes,yes,,07974,V13,358,80,160,10,L,10,Acc,6388,1318515,Jason (OB),yes,Old wound scar on top of head resulting in dented head see pics,,No,
,,31-May-19,SMB,Pine Trough,West Basin,,5:40:00,5:41:00,5:41:00,,,5:54:00,,,,265,259,155,220,,yes,yes,,07963,,,,,,L,,,,,Dave Philip,no,Stomach Contents Taken,,Yes,
,,1-Jun-19,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,David Philip,,"Stomach contents taken only, too small to tag",,Yes,
Ben,38,15-Sep-18,SMB,Big shore soal,Main Basin,Ben,11:15:00,,,11:07:20,11:09:50,,,,,390,370,260,,M,yes,yes,,07112,V13,1584,80,160,,L,,Reg,25895,1294387,,yes,old fin clip ,,n,
